chain_order,object,raw_unit_or_semantics,raw_status,source_support,production_timing_and_formula,N_multiplication,consumer,confirmed_likely_unresolved,normalization_or_economic_interpretation,successor_name
1,N,Numerical population aggregate; load_GDPdata uses resident population for industry 4 and industry employment for industries 1-3 before POP_multiplier,CONFIRMED,"load_GDPdata.m:79-104; mpHANK_equilibrium_2000.m:27-30; accepted unit_contract.csv:3","N_i=data_MAT.POP{st_ind}(data_year,i); initializer sets Lt_i=N_i",not multiplied at initialization,"initial Lt; denominator N0 population proxy; Lt_seperate origin scale",CONFIRMED,"N0 is an initialization population/labor proxy, not observed workplace employment; NU=100 persons in accepted corrected-2018 route",LABOR_REFERENCE_DATA_BINDING_DECISION
2,household_Lt_per_NU,effective labor per household numerical unit from normalized density,CONFIRMED,"HANK_2ASSETS_HJB.m:347,397; HANK_mp_1turn.m:15,23; accepted unit_contract.csv:8","L_hh_i=sum(zzz.*l.*g*dah*db,'all'); stored as results{i}.Lt after HJB",no within HJB,"Lt_seperate; one-turn pre-overwrite field",CONFIRMED,"efficiency labor is not raw headcount; no source proof that its numerical level equals one per person",HOUSEHOLD_LABOR_UNIT_DECLARATION
3,household_Ct_per_NU,mean household consumption flow in undeclared household relative flow unit,CONFIRMED,"HANK_2ASSETS_HJB.m:354,403; Lt_seperate.m:7","C_hh_i=sum(C.*g*dah*db,'all'); stored as results{i}.Ct",none,"Lt_seperate labor disutility/consumption term",CONFIRMED,"Ct enters the nonlinear labor allocation formula; its absolute currency scale is unresolved",HOUSEHOLD_FLOW_UNIT_DECLARATION
4,Lt_mat_per_NU_before_scale,"origin-i household effective labor allocated to destination-j; columns origin and rows destination",CONFIRMED,"Lt_seperate.m:6-7; HANK_mp_1turn.m:23; accepted update_order_contract.md:8",ell_ji=C_i^(-ga/phi_l)*(wjt_j*(1-tau_i-sigmau_ji)/phi_ji)^(1/phi_l),not yet multiplied,"temporary matrix before line-14 column scaling",CONFIRMED,"a nonlinear endogenous allocation level, not a static population share; depends on household Ct and firm wage",STATIC_MIGRATION_WEIGHT_IDENTIFICATION
5,Lt_mat_NU,"aggregate destination-j labor contributed by origin-i",CONFIRMED,"Lt_seperate.m:14-15; HANK_mp_1turn.m:23-27","Lt_mat(:,i)=ell(:,i)*N_i",exactly once by origin column,"row sum for each destination; because the assignment is after the loop and MATLAB retains i=N_prov, the full matrix is persisted only in results{31}.Lt_mat",CONFIRMED,"the source supports national accounting only as sum_ji ell_ji*N_i; it does not make this equal sum_i N_i unless ell columns have an additional normalization",LABOR_ALLOCATION_CONSERVATION_CHECK
6,Lt_supply_NU,"destination aggregate firm labor supply",CONFIRMED,"HANK_mp_1turn.m:24-26; HANK_firm.m:9","Lt_supply_j=sum_i Lt_mat(j,i)",already included in Lt_mat column scaling; do not multiply again,"HANK_firm input; firm output and price formulas",CONFIRMED,"large Lt_supply/N0 can arise from nonlinear ell levels and absent share normalization; it is not evidence of workplace employment excess",LABOR_REFERENCE_NORMALIZATION_DECISION
7,firm_Lt_NU,"firm labor state after allocation",CONFIRMED,"HANK_firm.m:9,30,42-43,67,77,87-88",Lt=results.Lt_supply; Y=Z*K^alpha*Lt^(1-alpha); KNratio=K/Lt; wt0=mt*(1-alpha)*Z*KNratio^alpha,no further multiplication,"firm production; NKPC changes; wage-bound tax compensation; Govinc",CONFIRMED,"firm Lt is aggregate effective labor under the source chain and is the only current labor object used by the firm",FIRM_LABOR_TARGET_SELECTION
8,wjt_destination,"clipped destination firm wage numerical relative price",CONFIRMED,"HANK_firm.m:43,66-74,81; Lt_seperate.m:7; wage_caculate.m:8",wjt_j=clip(wt0_j); current turn Lt_seperate receives new household Ct with retained old wjt per update-order contract,none,"Lt_seperate destination wage; wage_caculate destination wage",CONFIRMED,"wjt is distinct from household w and carries a one-turn source timing distinction",PRICE_LAG_PRESERVATION
9,household_w_i,"composite household wage numerical relative price",CONFIRMED,"wage_caculate.m:4-11; HANK_mp_1turn.m:49-53; HANK_2ASSETS_HJB.m:28",w_i=alphal^(-phi_l/(1+phi_l))*[sum_j phi_ji*(wjt_j*(1-tau_j-sigmau_ji)/phi_ji)^(1+1/phi_l)]^(phi_l/(1+phi_l)),none,"next household HJB results{i}.w",CONFIRMED,"source uses tau_j here but tau_i in Lt_seperate; composite wage is not a firm wage and its absolute currency mapping is unresolved",HOUSEHOLD_WAGE_NUMERAIRE_DECISION
10,results_Lt_field_overwrite,"one mutable field with two different roles over a turn",CONFIRMED,"mpHANK_equilibrium_2000.m:29-35; HANK_2ASSETS_HJB.m:36,397,415; HANK_firm.m:21,87-88",initializer results.Lt=N; HJB writes household_Lt_per_NU; HANK_firm writes aggregate firm Lt=Lt_supply,initializer none; later allocation does N once before firm overwrite,"HJB lag comparison before overwrite; firm lag/state after overwrite",CONFIRMED,"field reuse obscures dimensional provenance; successor must retain separate household_labor_per_NU and firm_Lt_supply_NU fields without changing equations",LABOR_STATE_FIELD_SEPARATION
11,firm_Lt_supply_over_N0,"diagnostic ratio of destination aggregate effective labor to origin population proxy",CONFIRMED,"accepted corrected-2018 25-turn KL ledger/report; task spec:39-40; HANK_mp_1turn.m:25; HANK_firm.m:9",R_j=Lt_supply_j/N0_j; late-window pooled median approximately 14.23079,none beyond numerator chain,"diagnostic only; not source acceptance predicate",CONFIRMED,"denominator is not workplace employment and numerator is nonlinear effective labor; the observed ratio establishes a commensurability problem but not its unique cause",INDEPENDENT_LABOR_REFERENCE_AUTHORITY
