object,raw_or_source_unit,legacy_multiplier_or_bridge,current_consumer_and_equation,N_multiplication_timing,legacy_mismatch,intended_successor_unit,successor_conversion_or_bridge,classification
Y0,GDP亿元,×1000,firm target and GDP controller Y/Y0,none,"coherent only if numeric aggregate unit is 10万元",aggregate MU where MU=10万元,GDP亿元×1000,OWNER_FROZEN_CORRECTION
N/L0,常住人口万人,×100,"initializer Lt=N; HANK_mp_1turn phi; Lt_seperate column later multiplies N",Lt_seperate multiplies individual labor by N once,"N is an unexplained numerical population normalization but Y/N then reads as 千元/person",aggregate NU where NU=100 persons,POP万人×100 and record NU definition,OWNER_FROZEN_CORRECTION
K0/PIM,capital documented as 万元,×1000,"initializer Kt0; GovInv; firm Kt=Kt_supply+GovInv",none,"same ×1000 as 亿元 GDP makes capital 10000 times larger than common-money conversion",aggregate MU where MU=10万元,"capital万元÷10; equivalently capital亿元×1000",OWNER_FROZEN_CORRECTION
GovInv,aggregate capital initialized from Kt0,Kt0×GovInv_ratio where ratio=1,firm adds directly to Kt_supply; Govinc adds GovInv×ra,none,"initial GovInv equals total target K while private supply is then added; unit inherits K mismatch",aggregate MU,"after a future initialization-only allocation receipt set from the existing K=Kt_supply+GovInv identity; preserve nonnegative and route metadata",FUTURE_VALIDATION_REQUIRED
At,household mean illiquid grid a per household,implicit bridge coefficient 1,"At×N enters tempKt and Kt_supply",multiply by N in HANK_mp_1turn before destination allocation,"currency value of one a-grid unit is not defined",MU/NU per household-grid aggregate,"At_macro=At_grid×asset_bridge_MU_per_NU_per_grid×N_model; bridge must be explicitly authorized",FUTURE_VALIDATION_REQUIRED
Bt,household mean liquid grid b per household,implicit bridge coefficient 1,national fiscal term Bt×rb×N,multiply by N in GovSurplus only,"same missing grid currency normalization; excluded from productive capital",MU/NU,apply explicit liquid-asset bridge then multiply by N once; never include in productive K,FUTURE_VALIDATION_REQUIRED
Lt,household mean efficiency labor per household,no monetary multiplier,"Lt_seperate uses Ct and old wjt then forms Lt_mat",Lt_mat column multiplied by origin N exactly once,"results.Lt is later overwritten by aggregate firm Lt so per-household and aggregate meanings share one field",efficiency-labor per NU before aggregation; aggregate efficiency labor after allocation,use distinct names household_labor_per_NU and firm_Lt_supply_NU,OWNER_FROZEN_CORRECTION
Ct,household mean consumption flow per household,implicit bridge coefficient 1,HJB budget and Lt_seperate; firm saves Ct_total=Ct×N,multiply by N only for aggregate Ct_total,"per-household flow unit is not declared",MU/NU per model period,declare flow unit and multiply by N exactly once for aggregate accounting,FUTURE_VALIDATION_REQUIRED
At*N,derived aggregate illiquid household assets,implicit asset_bridge=1,capital allocation tempKt and Kt_supply,multiplication occurs before inter-province allocation,"exact household-to-macro bridge point but source lacks unit proof",aggregate MU,At_grid×explicit_asset_bridge×N_model before unchanged allocation weights,FUTURE_VALIDATION_REQUIRED
Kt_supply,destination aggregate private productive capital,none,firm Kt=Kt_supply+GovInv,N already included upstream,"inherits implicit At bridge",aggregate MU,sum only converted At_macro through unchanged source allocation,OWNER_FROZEN_CORRECTION
Kt,total productive capital,addition Kt_supply+GovInv,Cobb-Douglas; rental return; investment and taxes,N already included in Kt_supply,"operands are not currently proven commensurate",aggregate MU,require identical MU and route receipt before addition,OWNER_FROZEN_CORRECTION
Zt,unit-dependent productivity,legacy fixed-row construction and Ztratio=1,Cobb-Douglas Y=Z K^alpha L^(1-alpha),none,"legacy fixed-2020 row and mixed input scaling",implied units MU^(1-alpha) NU^(alpha-1),same-year Z=Y/(K^alpha L^(1-alpha)) after unit conversion,OWNER_FROZEN_CORRECTION
alpha,dimensionless elasticity,no active clipping,production and factor prices,none,"commented .3/.8 guard is not active and does not implement Owner [.2,.8]",dimensionless,"save raw; clip once to [.2,.8]; save used/flag/reason; immutable in loop",OWNER_FROZEN_CORRECTION
ra,per-period firm illiquid return,"clip to [.02,.09]",household portfolio mapping; taxes; GovInv controller,none,"raw value is discarded and controller reads clipped value",dimensionless per model period,save ra_raw and ra_clipped; preserve current bounds and tax compensation,UNCHANGED_SOURCE_LOGIC
rah,per-period household composite illiquid return,no clip or damping,HJB illiquid return,none,"computed before current firm call from prior clipped ra; raw/used not distinguished",dimensionless per model period,save composite_raw then convex-damped next_household_used,NUMERICAL_PATH_STABILIZATION_PROPOSAL
rb,per-period liquid return,Taylor it-totalpit,HJB liquid return and fiscal Bt×rb×N,N only in aggregate fiscal term,"unit depends on model-period frequency not documented here",dimensionless per model period,preserve source formula and record frequency contract as future metadata,UNCHANGED_SOURCE_LOGIC
wjt,firm wage per efficiency labor,"clip to [.8,1.3]",Lt_seperate and wage_caculate,none,"not reconciled with Y/L under macro multipliers; raw value discarded",MU/NU per efficiency-labor unit,save raw/clipped; preserve bounds; do not rescale until wage normalization approved,FUTURE_VALIDATION_REQUIRED
w,household composite wage,no clip or damping,HJB budget constraint,none,"generic initial 20 survives into first household; composite unit inherits wjt ambiguity",MU/NU per efficiency-labor unit,aggregate from clipped wjt then damp value passed to next household,NUMERICAL_PATH_STABILIZATION_PROPOSAL
AtTax,household mean illiquid-return tax flow,implicit bridge coefficient 1,Govinc adds AtTax to aggregate Corptax+Lt×tau+GovInv×ra,no N multiplication in current source,"per-household item mixed with aggregate fiscal terms",MU/NU per model period,convert then multiply by N exactly once before aggregate Govinc,FUTURE_VALIDATION_REQUIRED
Tt,household transfer flow per household,implicit bridge coefficient 1,HJB budget; Govinc subtracts Tt,no N multiplication in Govinc,"per-household transfer mixed with aggregate fiscal terms",MU/NU per model period,convert and multiply by N once in aggregate fiscal accounting,FUTURE_VALIDATION_REQUIRED
