decision_id,topic,status,source_resolved_fact,decision_or_missing_evidence,permitted_next_action,prohibited_inference
OD-01,Productive private-K identity,SOURCE_RESOLVED,"Productive household capital is illiquid At; Bt and At+Bt are not productive firm capital.","The At-grid to MU bridge and the timing of the initial private-K observation are not identified.","Preserve At-only identity and document any later bridge separately.","Do not treat Bt or At+Bt as private firm capital."
OD-02,GovInv historical baseline G0,SOURCE_RESOLVED,"Protected-source audit and accepted runtime receipt retain GovInv0=Ktarget as SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING.","It is a benchmark rather than an accepted economic target rule.","Use only as a comparator in a future authorized design/test.","Do not call G0 a production-valid public-capital share."
OD-03,Residual GovInv G1 initial private-K identification,OWNER_OR_DATA_DECISION_REQUIRED,"Accepted accounting shows Kfirm=Kt_supply+GovInv and positive private supply makes G0 overshoot.","Owner must designate whether Kt_supply_initial is generic initialized At, one budgeted household-pass output at data-consistent prices, or a source-backed lagged state; unit bridge is also required.","Create a written timing/provenance contract before any G1 construction.","Do not use convergence or a late trajectory observation to define initial private K."
OD-04,Fixed public share G2,OWNER_OR_DATA_DECISION_REQUIRED,"G2 is dimensionally expressible as g0*Ktarget with 0<=g0<=1.","No accepted source authority for a fixed g0 has been identified.","Owner may supply external/dissertation authority for a share, then require source review.","Do not tune g0 from solver behavior or target matching."
OD-05,Public-capital decomposition G3,DATA_NOT_AVAILABLE,"Firm accounting permits a distinct GovInv component.","No accepted repository/protected-data public-capital share or series establishes the economic decomposition.","Acquire or designate an authoritative public-capital source before considering G3.","Do not invent a public series from the residual or controller path."
OD-06,Initialization versus controller split,SOURCE_RESOLVED,"The accepted 25-turn prefix observes zero late-window GovInv decreases and repeated increases under the frozen controller, while initialization G0 already overshoots with positive private supply.","Whether to change either mechanism remains an Owner choice.","Keep any initialization intervention and controller experiment in separately attributable future tasks.","Do not present a joint change as evidence that either component is repaired."
OD-07,Controller damping/under-relaxation,OWNER_OR_DATA_DECISION_REQUIRED,"Existing controller evidence includes clipped-ra triggers and multiplicative .9/1.1 GovInv updates; no accepted replacement law exists.","Owner must authorize a controller objective and non-convergence-based identification criterion.","At most prepare a future static/controller-design specification.","Do not select damping because it reduces overshoot, boundary hits, or produces convergence."
OD-08,L0 population-proxy baseline,SOURCE_RESOLVED,"Corrected runtime explicitly labels L0=N0 as population_proxy_NU; accepted review says N0 is not observed workplace employment.","Owner must decide whether L0 remains a descriptive baseline only or a calibration reference in a future task.","Retain the proxy label and unit receipt.","Do not interpret L0 as observed employment."
OD-09,L1 migration-adjusted population reference,OWNER_OR_DATA_DECISION_REQUIRED,"Static source logic supplies migration/allocation structure; destination shares can in principle be formed from exogenous weights without household endogenous labor only if the required static inputs and normalization are fully specified.","Owner must designate the exogenous base population, allowable source weights, and the fixed national total/reference meaning.","Develop a static share-only receipt with national conservation check after designation.","Do not use endogenous household Lt or a converged state to manufacture the reference."
OD-10,L2 employment-rate scaled population,DATA_NOT_AVAILABLE,"No accepted authoritative employment-rate or labor-force source has been designated in the current evidence set.","Province-year employment-rate/labor-force data with definition, units, coverage, and provenance are required.","Leave L2 unavailable pending data closure.","Do not infer employment rates from N0, migration output, wages, or firm labor."
OD-11,L3 model-consistent normalized migration shares,OWNER_OR_DATA_DECISION_REQUIRED,"Source migration mechanics distinguish origin-destination Lt_mat and destination Lt_supply, but current N0 comparison does not close the scale contract.","Owner must fix an independently documented national labor aggregate and decide whether the static mechanism's shares preserve the intended migration interpretation.","Assess a share-normalization contract only after the national aggregate is identified.","Do not normalize to a solver-selected aggregate or claim workplace employment."
OD-12,National labor aggregate,DATA_NOT_AVAILABLE,"Current receipt provides provincial population proxy totals, not an accepted national workplace-employment/labor-force aggregate for calibration.","An authoritative aggregate with a compatible year, geography, unit, and economic meaning is required.","Open a data-provenance gate before L1/L3 implementation.","Do not use sum of current firm Lt_supply as the exogenous national target."
OD-13,Observed workplace-employment data,DATA_NOT_AVAILABLE,"Accepted evidence expressly states that N0 is not observed workplace employment and does not establish migration flows/workplace gaps.","Province-level workplace employment or a defensible source-compatible proxy requires external data authority.","Record absence and preserve proxy-only language in all reports.","Do not relabel population or destination firm labor as observed employment."
OD-14,Firm labor comparison object,SOURCE_RESOLVED,"Static MATLAB audit identifies household Lt as not final firm labor; Lt_mat rows are destinations and Lt_supply is the destination labor supplied to the firm.","The economically valid target/reference scale for that object is unresolved.","Compare firm Lt_supply only to a future reference sharing its documented unit/scale contract.","Do not compare it to raw N0 as a proof that the firm routine is wrong."
OD-15,Results/production selection,SOURCE_RESOLVED,"Results eligibility remains FALSE; the redesign task is design/static analysis only.","No production GovInv or labor redesign has authority.","Stop at an Owner/data decision and a separately authorized future task.","Do not choose a production winner, start a trajectory, or publish Results."
