object,source_statement,legacy,python,usage,class
rho=.05,c5 value; no period,MATLAB literal,EconomicParams,rho*V,UNRESOLVED
rb=.02; gap=.07,no calendar source,initial literals,HouseholdInputs,liquid drift,LEGACY_INHERITED_ONLY
r_a/rah,continuous-time asset drift,direct composite of firm ra,HouseholdInputs.r_a,illiquid drift,CONFLICTING
delta,c4 quarterly .025; c5 .0025,.025,.025,annual-flow ra0 formula,CONFLICTING
Q_z=1/3,"jump process, no calibrated period",generator literal,switch matrix,Q_z V,UNRESOLVED
chi0=.1; chi1=2,no time normalization,literals/FOC,EconomicParams/FOC,d and adjustment cost,LEGACY_INHERITED_ONLY
Tt=.1,no currency/time source,initial literal,transfer_income,liquid flow,UNRESOLVED
"ra [.02,.09]",convergence crash guard,firm clip,firm clip,legacy return,NUMERICAL_SAFEGUARD
"wjt [.8,1.3]",no absolute scale source,firm clip,firm clip,firm wage,NUMERICAL_SAFEGUARD
Vb floor 1e-6,no economic calibration,HJB max,faithful floor,consumption/labor FOC,NUMERICAL_SAFEGUARD
